SUBTIPO,ESTRATO,NIVEL_PISO,VAL_ARRIEN,AREA_M2,ALCOBAS,BANOS,GARAJES,ESTAR,ESTUDIO,ALC_SERVIC
0,4,4,900000,78,3,2,1,0,0,0
0,4,2,550000,35,1,1,0,0,0,0
0,4,5,650000,47,1,1,0,0,0,0
0,4,5,650000,35,1,1,0,0,0,0
1,4,0,850000,50,2,1,0,0,0,0
1,4,0,570000,50,2,1,0,0,0,0
0,4,3,1200000,89,3,2,1,0,0,0
0,4,0,950000,67,2,1,1,0,0,0
0,4,2,800000,70,2,1,0,0,0,0
0,4,1,450000,40,1,1,0,0,0,0
0,4,1,510000,48,2,1,0,0,0,0
0,4,2,1100000,100,3,1,1,0,0,0
1,4,0,2200000,300,7,2,0,0,0,0
1,4,0,750000,98,3,2,0,0,0,0
0,4,13,950000,65,3,2,1,0,0,0
0,4,13,950000,70,3,2,1,0,0,0
0,4,13,950000,85,3,2,1,0,0,0
0,4,1,1200000,65,3,2,1,0,0,0
0,4,13,1400000,100,4,2,1,0,0,0
0,4,9,1500000,80,4,3,1,0,0,0
0,4,13,1400000,80,3,2,1,0,0,0
0,4,2,950000,60,3,2,1,0,0,0
0,4,9,1100000,65,3,2,0,0,0,0
0,4,6,1200000,72,3,2,1,0,0,0
0,4,3,680000,60,2,1,0,0,0,0
0,4,7,680000,43,2,1,0,0,0,0
0,4,7,900000,72,3,2,1,0,0,0
0,4,5,850000,70,3,2,1,0,0,0
0,4,2,750000,52,2,1,1,0,0,0
0,4,6,900000,72,3,2,1,0,0,0
0,4,7,800000,60,2,2,1,0,0,0
0,4,0,1000000,88,3,2,0,0,0,0
0,4,0,1700000,187,4,2,0,0,0,1
1,4,3,920000,75,3,1,0,0,0,0
0,4,0,1350000,240,4,3,0,1,0,0
0,4,1,1000000,170,4,4,0,0,0,0
0,4,3,550000,49,1,1,0,0,0,0
0,4,3,500000,49,1,1,0,0,0,0
0,4,0,1150000,117,5,2,0,0,0,0
1,4,0,900000,85,3,2,0,0,0,0
1,4,0,700000,70,2,2,1,0,0,0
1,4,0,750000,85,1,1,0,0,0,0
1,4,2,650000,65,2,1,0,0,0,0
1,4,0,2000000,180,4,5,1,0,0,0
1,4,0,800000,65,2,1,0,0,0,0
0,4,4,880000,91,3,3,0,0,0,0
0,4,1,650000,60,2,2,1,0,0,0
0,4,4,650000,58,2,1,1,0,0,0
0,4,2,1100000,101,3,2,1,0,0,0
0,4,1,900000,107,3,2,1,0,0,0
0,4,1,800000,40,1,1,0,0,0,0
0,4,3,750000,70,2,2,1,0,0,1
0,4,4,780000,100,3,3,1,0,0,0
0,4,0,1400000,140,4,1,0,0,0,1
0,4,6,950000,120,4,3,1,0,0,0
0,4,2,700000,100,2,2,1,0,0,1
1,4,0,770000,56,1,1,0,0,0,0
0,4,3,650000,50,1,1,0,0,0,0
0,4,2,560000,60,1,1,0,0,0,0
0,4,2,900000,80,3,3,1,0,0,0
0,4,13,670000,50,1,1,0,0,0,0
0,4,12,700000,38,1,1,1,0,0,0
0,4,11,1100000,85,3,2,1,0,0,0
0,4,6,1150000,85,3,2,1,0,0,0
0,4,6,1100000,85,3,2,1,0,0,0
0,4,2,1000000,115,3,3,0,0,0,1
0,4,1,900000,100,2,2,1,0,0,0
0,4,0,900000,65,2,1,0,0,0,0
0,4,0,1300000,99,3,3,0,0,0,0
0,4,4,950000,100,3,3,1,0,0,0
0,4,2,580000,44,1,1,0,0,0,0
0,4,2,950000,60,3,2,0,0,0,0
0,4,4,750000,44,1,1,0,0,0,0
0,4,4,920000,74,2,2,0,0,0,0
0,4,1,800000,47,2,2,0,0,0,0
0,4,4,750000,115,3,2,0,0,0,0
0,4,4,790000,115,3,2,1,0,0,0
0,4,0,700000,60,2,1,0,0,0,0
0,4,2,600000,60,2,1,0,0,0,0
0,4,0,850000,60,2,2,0,0,0,0
0,4,4,900000,60,2,1,0,0,0,0
1,4,3,850000,80,3,2,0,0,0,0
1,4,0,850000,60,2,2,0,0,0,0
1,4,3,650000,50,1,1,0,0,0,0
1,4,0,650000,43,2,1,0,0,0,0
1,4,0,650000,43,2,1,0,0,0,0
1,4,0,800000,65,2,1,0,0,0,0
1,4,0,1500000,230,5,3,1,0,0,1
0,4,0,1400000,180,5,4,0,0,0,1
0,4,3,1250000,240,6,4,0,0,0,0
0,4,5,1350000,94,3,3,1,0,0,0
0,4,5,950000,93,3,3,0,0,0,0
0,4,3,1350000,95,3,3,1,0,0,0
0,4,5,1350000,94,3,3,1,0,0,0
0,4,3,1400000,95,3,2,1,0,0,0
0,4,5,1350000,94,3,3,1,0,0,0
0,4,5,1350000,94,3,3,1,1,0,0
0,4,5,1100000,94,3,3,0,0,0,0
0,4,1,900000,50,2,1,0,0,0,0
1,4,0,600000,40,2,1,0,0,0,0
1,4,0,1100000,236,5,3,0,1,0,0
0,4,2,790000,90,2,2,0,0,0,1
0,4,4,850000,65,2,1,0,0,0,0
0,4,5,780000,70,3,2,1,0,0,0
0,4,0,980000,70,3,2,0,0,0,0
0,4,5,950000,70,3,2,1,0,0,0
0,4,5,820000,70,3,2,1,0,0,0
0,4,2,850000,60,2,2,1,0,0,0
0,4,3,650000,58,1,1,1,0,0,0
0,4,4,750000,55,2,2,1,0,0,0
0,4,3,980000,60,2,1,0,0,0,0
0,4,3,1100000,65,3,1,0,0,0,0
0,4,3,750000,55,2,2,1,0,0,0
0,4,2,530000,36,1,1,0,0,0,0
0,4,3,600000,36,1,1,1,0,0,0
0,4,5,800000,68,3,2,0,0,0,0
0,4,2,900000,60,2,2,1,0,0,0
0,4,2,750000,34,1,1,0,0,0,0
0,4,3,650000,36,1,1,0,0,0,0
0,4,2,770000,60,2,2,1,0,0,0
0,4,2,650000,35,1,1,0,0,0,0
0,4,5,1050000,70,2,2,1,0,0,0
0,4,4,800000,57,2,3,1,0,0,0
0,4,2,650000,80,2,1,1,0,0,0
0,4,4,680000,55,2,1,0,0,0,0
0,4,3,650000,50,2,1,1,0,0,0
0,4,3,650000,50,2,3,1,0,0,0
0,4,2,600000,40,1,1,0,0,0,0
